R,S,K,G,L,F
1.0,1.0,0.38359702,3.4402068,3.729977,4.3967543
1.0,1.0,0.42649916,2.8066545,3.3500333,3.9802365
0.0,0.0,0.42512536,0.19694011,0.02400278,0.25033516
0.0,1.0,0.6492215,0.44046688,0.24682277,0.84672046
0.0,1.0,0.36726034,1.7145386,1.2255771,2.6915412
1.0,0.0,0.4338618,0.8919212,0.953959,1.2907987
1.0,1.0,0.087986715,3.135798,3.7529955,4.2173004
0.0,1.0,-0.4129615,1.4274129,0.5239899,2.2569363
1.0,1.0,0.658277,0.116023235,0.16668735,0.13617271
0.0,1.0,-0.7556354,1.416393,0.5497719,2.4607368
1.0,0.0,0.12615195,0.89087296,1.0998197,1.2306501
0.0,1.0,1.1952295,0.8793779,0.7717979,1.2953942
0.0,0.0,0.97549224,0.074206084,0.066051364,0.037603907
1.0,1.0,0.7496229,4.0297594,4.4226317,5.240219
0.0,0.0,-1.8113308,-0.38999403,-0.3010816,0.14064057
1.0,1.0,0.33057752,3.1501322,3.4618382,4.015191
1.0,1.0,-0.7193406,4.7953453,5.3803706,6.6699305
1.0,0.0,0.19448511,4.0245323,5.2619824,5.4446754
0.0,0.0,-0.81842315,0.120815374,-0.08102706,0.18951899
1.0,0.0,-0.29851502,0.19011098,0.4925336,0.28085196
0.0,1.0,0.324526,0.0014226288,0.18553993,0.05551166
1.0,0.0,-1.3707371,2.0606258,3.2571363,2.9357266
1.0,0.0,1.3505311,3.763856,4.9932027,4.723364
0.0,0.0,0.017798636,0.008922599,-0.059840247,0.14514789
0.0,0.0,1.723197,0.039577313,-0.11108208,-0.004788194
0.0,1.0,-1.0676674,0.72657406,0.3922459,1.553744
0.0,1.0,0.4553526,2.7224307,1.9879096,4.2453876
0.0,1.0,1.3346803,1.977294,1.3745921,2.6072798
0.0,0.0,0.63178295,0.30038643,0.16912249,0.06490749
0.0,0.0,-0.90443057,-0.076525375,0.15562053,0.14201766
1.0,0.0,0.44157577,5.3184314,7.32438,7.105745
1.0,1.0,-0.4279839,1.8454272,2.0704794,2.4317238
0.0,1.0,-0.23749034,0.24727085,0.19676973,0.38853872
0.0,0.0,-0.6603672,0.20554468,0.036479905,0.41072553
0.0,0.0,0.53155804,1.1459767,1.1453966,1.9646853
1.0,0.0,-0.38159996,2.2050152,3.2057407,3.006137
0.0,0.0,0.24412245,0.2097235,0.25295946,0.653299
1.0,0.0,0.6521039,5.141262,6.892359,6.7375546
0.0,0.0,1.0101401,0.98624986,0.81837386,1.4366121
0.0,0.0,0.1729371,0.8063462,0.78346217,1.6759027
0.0,1.0,-0.18425767,0.869883,0.61973405,1.203138
1.0,1.0,-0.8151367,1.1251445,1.305839,1.4912815
1.0,1.0,0.42955554,1.15454,1.2201282,1.3719709
0.0,1.0,-0.031477638,0.4059713,0.3521819,0.8051058
1.0,1.0,-0.8804563,2.0663874,2.3140883,2.773282
1.0,0.0,-0.06961478,4.575745,6.249386,6.08049
1.0,0.0,-0.1442231,3.0589027,4.4059205,4.204009
0.0,1.0,-0.464612,1.9849519,1.0364827,3.490425
0.0,1.0,-1.1639131,0.14364102,0.17295466,0.6054508
1.0,1.0,-0.7231013,2.3925698,2.7913637,3.1825042
1.0,1.0,0.46985832,0.5975691,0.69530624,0.6684441
0.0,0.0,-0.05145707,0.8280609,0.7622061,2.061006
0.0,1.0,-0.8781345,0.94009006,0.34919202,1.880481
1.0,0.0,0.37460905,3.56004,4.889426,4.6760006
1.0,0.0,0.49117005,2.9958692,4.0113387,3.804258
1.0,1.0,0.19050293,6.2189746,6.9663544,8.153973
1.0,0.0,-1.5782386,0.84426135,1.2887475,1.1456708
0.0,1.0,-0.726222,1.0494673,0.4713638,2.2257123
0.0,0.0,-0.1590595,0.2586477,0.43908137,0.7039119
1.0,1.0,-0.40931574,0.071721256,0.20678826,0.33130878
1.0,0.0,-1.1436902,1.9899534,3.4481359,3.4598055
0.0,1.0,-0.33765188,0.6445281,0.42991304,1.0540972
0.0,0.0,0.9978091,0.20627618,0.2772985,0.13101277
0.0,1.0,-0.73767763,1.0337592,0.51266223,1.6247323
1.0,1.0,-0.089974046,5.8286443,6.744337,7.839934
0.0,1.0,-0.22344391,1.5667961,0.7499793,2.7810266
0.0,0.0,0.43369997,1.3701406,1.3802459,2.4052067
1.0,0.0,-1.8438423,0.826157,1.2383322,1.3766108
0.0,1.0,-0.6511648,1.2313359,0.61920923,1.8047605
1.0,0.0,0.80174804,1.4970144,2.0955017,1.8843995
0.0,0.0,0.051640335,0.13480431,0.20313384,0.22887646
1.0,1.0,-1.2341241,4.8933926,6.106396,7.0992875
1.0,0.0,0.51980144,1.2667651,1.9294351,1.444329
0.0,1.0,-0.86534107,0.27948034,-0.054145694,0.22896262
0.0,1.0,0.7668447,2.7839336,2.0150464,3.9163346
0.0,1.0,-0.22481817,1.0270822,0.49979126,1.6711701
0.0,0.0,0.97633946,0.3822651,0.42019275,0.25235477
1.0,1.0,-0.11847903,3.6315794,4.058561,4.788284
1.0,0.0,-0.9219003,3.3432794,4.5595036,4.5533514
1.0,0.0,0.5728551,4.0709047,5.640594,5.192039
1.0,1.0,-0.75176346,3.4243398,4.038749,4.775127
0.0,0.0,-1.2100872,-0.11554724,0.01768905,0.4380635
1.0,0.0,-0.027255975,3.6395674,5.1524186,4.9480476
0.0,0.0,0.44815585,0.85231674,0.9373996,1.4979072
1.0,0.0,0.35946944,0.5260231,0.42287207,0.23257478
1.0,1.0,-0.5768067,1.8334666,2.0800018,2.524781
0.0,1.0,-0.59499466,0.9250972,0.5127278,1.8817196
0.0,0.0,-1.4830762,-0.40825188,-0.5292975,0.5094335
1.0,1.0,-0.3917384,3.302774,3.880488,4.5481806
1.0,0.0,-2.1374068,2.37495,4.0591717,3.7787354
0.0,1.0,0.5951536,1.3522416,0.93026805,1.8432679
1.0,0.0,-0.35522538,2.4828725,3.2367406,3.169749
0.0,1.0,0.9984251,0.62342364,0.45712128,0.699792
1.0,1.0,0.34640464,4.9803333,5.665404,6.5411444
1.0,1.0,1.9985716,6.94956,7.673427,8.617524
1.0,1.0,-0.43374673,1.6586418,1.9261268,2.1261415
0.0,1.0,1.1071217,3.7013898,2.746102,5.02935
1.0,0.0,1.196684,1.4135221,1.8670529,1.8705592
0.0,0.0,0.98069763,0.6327791,0.50903463,0.8281381
1.0,1.0,-1.4955463,0.5278352,0.24388978,0.5926692
0.0,0.0,-0.9940175,-0.033661157,-0.06965937,-0.08329271
0.0,1.0,2.3903039,0.23801728,0.15661803,0.25210103
0.0,0.0,0.015822602,0.79223514,0.8317283,1.6252714
0.0,0.0,0.47028548,1.2204216,0.99533314,2.1146598
1.0,1.0,0.81029963,6.057659,6.905365,7.8157816
1.0,1.0,-0.8572712,5.420879,6.3964663,7.773599
1.0,1.0,0.19019134,2.1020494,2.5015755,2.97267
0.0,0.0,-1.1598339,-0.19107312,0.0032114983,0.684312
1.0,0.0,0.3255234,1.7212983,2.331188,2.5135689
0.0,1.0,-0.3795224,0.85841537,0.32839143,1.307735
0.0,0.0,-1.2749592,-0.31798804,-0.34254408,0.6061429
0.0,0.0,0.51782715,1.4707052,1.480975,2.5706067
0.0,0.0,-0.83265406,0.037932336,0.07162084,0.30924198
0.0,0.0,-0.010798951,0.1389693,0.23212463,0.40764093
1.0,1.0,1.4515575,0.833984,1.2161044,1.1681993
0.0,0.0,0.11807476,0.27107173,0.4462756,0.6269125
0.0,1.0,-1.6109486,0.33544576,-0.019818604,0.7099199
1.0,0.0,-0.6996496,2.8115945,3.959469,3.8944495
0.0,0.0,-0.39173198,-0.10480191,0.0865269,-0.047488376
1.0,1.0,0.5932948,6.5091634,7.507479,8.549611
0.0,1.0,2.1754968,1.9256643,1.7301438,2.4028358
0.0,1.0,0.39600012,1.6597879,1.3055971,2.4528008
0.0,1.0,0.10939861,1.9582248,1.1160655,2.8807068
1.0,0.0,0.36636576,4.6912174,6.513261,6.0329113
1.0,1.0,-0.070772246,4.7147393,5.2992883,6.198416
1.0,0.0,0.44472027,3.293561,4.6216903,4.476789
1.0,0.0,0.14276926,2.1414647,3.1125712,2.7712111
0.0,0.0,-0.7071878,0.077910185,0.30920187,0.8435089
0.0,0.0,1.2475426,1.0170188,0.8642598,1.1956234
0.0,1.0,0.4394942,0.4504753,0.2972321,0.6515887
1.0,0.0,-1.2068076,2.320032,3.3124642,3.10852
0.0,0.0,2.1478364,1.343566,1.2241017,1.6915972
1.0,1.0,-0.68292344,4.754225,5.553715,6.474176
0.0,0.0,1.2218238,0.27022415,0.07768915,0.29477012
0.0,0.0,0.97566974,1.383735,1.3511181,2.0301743
1.0,0.0,1.2962283,0.80466896,1.043754,1.0419115
0.0,1.0,0.007473765,1.8004074,1.0035993,3.0765278
0.0,0.0,0.3618765,0.244463,0.14481252,0.34609127
0.0,1.0,-1.5399506,0.70513225,-0.060356557,1.6728011
0.0,0.0,-0.39394042,0.43531314,0.6197988,1.1617256
1.0,0.0,0.87372357,1.7755867,2.2532494,2.1757636
1.0,1.0,1.2280328,4.3114934,4.7570357,5.150824
1.0,1.0,-0.06560721,6.0511136,6.9793844,8.056031
0.0,0.0,0.49908358,1.3395097,1.2784083,2.4592628
0.0,1.0,-1.910123,0.55172944,-0.18505377,1.2295884
1.0,1.0,-1.4101603,0.6174125,0.72090113,0.9289562
0.0,1.0,-0.047327813,1.1024613,0.8905296,1.9806814
0.0,0.0,0.041311715,0.068414934,0.13434282,-0.09689227
1.0,0.0,0.85652035,3.2426264,4.344795,4.1935596
1.0,0.0,0.536955,2.947772,3.7625818,3.7534103
0.0,1.0,0.26269853,0.5889145,0.4150687,1.2217723
1.0,0.0,-0.7537195,0.8552076,0.99759334,0.8417797
0.0,0.0,-0.5825321,0.22924438,0.18096769,0.68029225
0.0,1.0,1.0253553,3.0241919,2.1550674,4.473836
1.0,1.0,0.023202322,5.6188126,6.77506,7.618271
1.0,0.0,-0.43584645,2.385675,3.4822516,3.0824583
1.0,1.0,0.8895438,3.0290337,3.1202745,3.8048863
1.0,0.0,0.35544422,4.318195,5.962804,5.708679
0.0,1.0,-0.19498746,0.2070287,0.21789101,0.34713504
0.0,0.0,-1.7461158,-0.80708015,-0.6160979,0.30986166
0.0,0.0,0.9547064,1.4406667,1.5536854,2.3045752
0.0,0.0,-1.9543128,-0.27072078,-0.37162763,0.1531199
0.0,1.0,1.2037696,0.3396125,0.15710527,0.3745815
0.0,0.0,-0.18099718,0.32174134,0.5935766,1.0069405
0.0,0.0,1.0434179,1.5547413,1.3476932,2.0638995
0.0,1.0,1.7430423,2.0450733,1.621891,2.7786803
0.0,0.0,0.81896234,1.4971454,1.5392121,2.30849
0.0,0.0,-2.1156535,-0.07656649,-0.16105837,-0.13082913
0.0,0.0,0.7353017,0.72822446,1.0427363,1.4122225
0.0,1.0,0.9352811,1.2048987,0.9052671,1.9111573
1.0,1.0,-1.6873187,3.4165251,4.2205534,4.880374
0.0,1.0,-0.72401667,0.21402282,0.07053607,0.3546886
1.0,0.0,2.3877008,0.80477124,0.771049,0.9018745
0.0,0.0,-1.1679463,-0.0002642572,0.016195476,0.3167763
1.0,1.0,-0.22557,5.1698065,6.1167035,7.1910014
0.0,0.0,-1.815593,-0.17667791,-0.14294945,0.028585076
0.0,1.0,-0.12832434,0.18361832,0.19538479,0.33960646
1.0,0.0,-1.9685638,0.18060842,0.18039742,0.114855394
0.0,0.0,0.7207403,1.269686,1.158596,1.7129422
1.0,0.0,0.3322677,5.2671423,7.222579,6.990555
1.0,1.0,0.14922214,0.55322605,0.6271198,0.5775441
1.0,1.0,-1.9958699,4.363014,5.237568,6.6092424
0.0,0.0,-1.2937807,-0.06959687,-0.12034449,0.18778422
1.0,1.0,-0.3872154,4.515662,5.200862,6.2691627
0.0,0.0,0.98062557,1.2363067,1.3179506,1.9185797
0.0,0.0,-0.49970418,0.14737496,0.094824344,0.37720332
0.0,1.0,-0.25155878,0.5070788,0.2941273,0.8623667
1.0,0.0,-0.17735885,0.49169597,0.91943103,0.8761638
1.0,1.0,0.26889586,3.2748237,3.5958567,4.2554655
0.0,1.0,0.6162169,0.9690449,0.8151948,1.8724253
0.0,0.0,0.2674868,1.0327816,1.1187229,1.9543617
1.0,0.0,1.3049,4.308898,5.611257,5.424244
0.0,0.0,0.09420777,0.05337613,0.13026571,0.07861175
1.0,0.0,0.09614087,1.5623488,2.0178049,2.0371056
1.0,0.0,0.7762817,2.2402267,2.8155847,2.7194822
0.0,1.0,1.2802283,0.6652859,0.491951,0.8286714
0.0,0.0,0.9750124,1.3010027,1.4207823,2.099079
1.0,0.0,-2.3203375,1.8237404,3.0194674,2.762761
0.0,0.0,-1.6420999,-0.48352766,-0.6696521,0.30172792
1.0,1.0,-0.2632502,0.71040416,0.7419814,0.78971475
1.0,0.0,-0.068602376,2.3963003,3.512705,3.2192066
1.0,1.0,-0.8534478,2.1430964,2.503069,3.086606
1.0,1.0,-2.6584136,0.21849193,0.25768012,0.25495273
0.0,1.0,0.81596905,1.8764524,1.274057,2.4959035
1.0,0.0,-0.94534075,1.3374058,1.9786663,1.8443084
1.0,0.0,1.3551272,1.2449124,1.5008893,1.637765
1.0,1.0,0.5183069,3.3047504,3.785035,4.3975086
0.0,1.0,-0.98211354,1.3607224,0.29448724,2.6698632
1.0,0.0,-0.13135767,3.730946,5.2802725,5.355279
0.0,1.0,-0.18394008,1.5251107,0.8995095,2.6411228
0.0,0.0,0.6241185,0.8058019,0.8114513,1.4447851
1.0,1.0,-0.73510885,4.793934,5.3776264,6.2409
1.0,0.0,-0.47809017,0.355627,0.7772664,0.6263767
1.0,1.0,0.07192486,0.65044653,0.7640053,0.7533838
1.0,0.0,-0.19292879,2.398354,3.4928617,3.3363826
0.0,0.0,-0.45999244,0.26828173,0.36579028,0.9205811
0.0,1.0,-0.08551146,2.303254,1.3629029,3.3788552
0.0,0.0,-0.33937898,0.41153696,0.28408676,0.86344206
1.0,1.0,-0.36643592,1.9573598,2.361467,2.6067772
0.0,0.0,1.6164181,0.2963342,0.3213611,0.5527141
1.0,0.0,-0.7678565,0.21398109,0.32149324,0.4801561
0.0,1.0,-0.37528273,1.0744758,0.40547338,2.1106253
0.0,0.0,-1.9074166,-0.5398183,-0.35563296,0.077890426
0.0,1.0,-0.014773496,1.9519005,1.2276694,3.1442657
1.0,0.0,-0.36149445,4.5458903,6.480677,5.973256
1.0,1.0,-0.30295604,3.9036832,4.3690295,5.23102
0.0,0.0,0.9994164,0.85408705,0.65788937,1.2013758
1.0,0.0,-2.1807323,0.19968188,0.5173389,0.4046819
0.0,1.0,1.7755113,1.388823,0.90212566,2.0583782
0.0,0.0,-0.82458663,0.040828586,0.26970008,0.84764934
1.0,1.0,-1.3750898,1.9730554,2.5257962,2.9844935
0.0,0.0,0.099656485,0.71602476,1.0305173,1.9206281
0.0,0.0,-0.31044725,0.16670513,-0.062245272,0.10907464
1.0,1.0,-0.9608827,5.41991,6.2281923,7.358352
1.0,1.0,0.93268734,2.369687,2.5313344,2.8754275
0.0,1.0,0.022379477,2.185648,1.4830189,3.454661
0.0,0.0,-0.4599067,0.25513023,0.38949466,1.3083911
0.0,1.0,-1.6682916,0.7179126,0.08449286,2.3904376
0.0,1.0,1.5884199,1.1563413,0.9200501,1.2617339
1.0,0.0,-1.4120381,0.863091,1.4242251,1.4169661
0.0,0.0,-1.0882083,-0.08134258,-0.023810506,0.62352514
0.0,1.0,0.78354496,2.4094605,1.5080445,3.6281824
0.0,0.0,0.86673945,1.4245849,1.6537185,2.3730586
1.0,0.0,-0.6326856,-0.07915452,0.31082648,0.23205908
1.0,0.0,-0.49692428,1.3295858,1.7802668,1.790552
0.0,1.0,-0.08818634,0.29843363,0.12049572,0.5666151
0.0,0.0,-0.4571208,0.41714367,0.47249243,1.0354804
0.0,0.0,-0.53169173,0.02727013,0.06902254,0.07362961
0.0,1.0,0.46008295,2.1122842,1.3494978,2.9606717
1.0,1.0,2.5667138,4.7947483,5.262112,5.948203
0.0,1.0,1.5149993,1.8988864,1.412647,2.851252
1.0,1.0,0.039037105,4.4612513,5.3950825,6.2610617
0.0,1.0,1.0505868,3.3070834,2.3496757,4.6654425
0.0,1.0,0.80754095,0.004157096,0.030045666,0.28192943
1.0,0.0,-0.8271329,2.4533656,3.6140804,3.2979507
1.0,1.0,0.31906265,3.3127484,3.7604616,4.4163074
1.0,1.0,0.72790474,2.7813458,3.260761,3.7974303
1.0,1.0,-0.9675141,1.209752,1.4511701,1.7847425
1.0,0.0,-0.34887314,2.447227,3.5461326,3.3162007
0.0,1.0,-1.8606738,0.5515523,-0.475659,2.11516
1.0,1.0,-2.2410505,1.5644323,2.0557857,2.2902129
1.0,1.0,-0.39302897,2.0240467,2.1456938,2.5822682
1.0,1.0,-0.64378023,1.3680521,1.369225,1.7587237
0.0,1.0,0.68159133,3.0404806,1.8651695,4.4835114
0.0,0.0,-0.37346098,0.6571177,0.6443678,1.5959358
1.0,0.0,-0.9009847,0.75097024,1.2603223,1.0874677
1.0,0.0,0.029316671,3.9349504,5.6690307,5.2789097
1.0,1.0,1.0495682,3.6418257,3.9434443,4.8604865
0.0,0.0,-0.6913204,0.085709184,0.01973033,0.73100376
1.0,1.0,-0.24436334,5.4801483,6.2668533,7.299307
0.0,1.0,0.14324896,0.4323283,0.13795172,0.6558038
0.0,1.0,-0.6990108,1.478756,0.49951562,2.6275635
1.0,0.0,0.37787893,5.2245355,6.9036393,6.719993
0.0,1.0,0.90973413,3.1310132,2.5392575,4.7133284
1.0,0.0,0.8182785,0.31660962,0.3638436,0.2382762
0.0,0.0,0.6734834,1.6519442,1.6438556,2.6374273
0.0,0.0,-0.5785039,0.3362133,0.44746435,1.2610538
0.0,1.0,-1.3692013,1.116592,0.2038793,2.3604608
0.0,0.0,-0.8327973,0.15962839,0.0027438998,1.0223426
1.0,1.0,-0.41557398,2.7040503,3.1097205,3.8714294
0.0,0.0,-1.0789309,-0.024766922,0.1914407,0.5163305
0.0,0.0,0.7117122,1.4614115,1.4848251,2.1928654
1.0,1.0,-0.25394914,4.431462,4.986196,5.9665656
1.0,1.0,-1.2804707,3.970367,4.7715592,5.652456
0.0,0.0,0.8109114,1.6227806,1.69883,2.670743
1.0,1.0,1.4724706,2.6247902,2.9009066,3.360665
1.0,0.0,-1.6130642,1.4415749,2.1946435,2.0433788
0.0,1.0,0.8915483,1.6578386,1.3176259,2.490625
0.0,1.0,-0.7643225,0.5212323,0.31616926,0.8095582
1.0,0.0,-0.025941627,4.8307686,6.9208636,6.7203326
1.0,0.0,-0.6427035,3.1732035,4.3332605,4.2121525
1.0,1.0,-0.37236327,2.9461484,3.5142941,3.819439
0.0,1.0,0.66988134,1.1118851,0.5855526,1.346688
0.0,1.0,-0.51731586,1.8404897,0.9489843,3.2318726
1.0,1.0,0.21362217,6.513115,7.525287,8.7853565
0.0,0.0,-0.8166201,0.16693732,0.07114136,0.62517333
1.0,1.0,-0.6011551,1.7978045,1.9785573,2.2381155
0.0,0.0,-0.8530479,0.14214951,0.14675874,0.9551151
1.0,1.0,1.0161256,3.8091698,4.055441,5.0098877
1.0,0.0,1.3069844,2.2708483,3.3576977,3.1453474
0.0,0.0,2.2918563,2.3788466,2.551412,3.2298112
0.0,1.0,-0.2206507,0.112441346,0.16471723,0.41054463
0.0,1.0,1.4775147,3.7555003,2.9595833,5.365502
0.0,0.0,1.0043788,1.4987127,1.4510258,2.3196182
1.0,0.0,1.6061474,0.33188432,0.40692854,0.44905227
0.0,0.0,0.19535367,0.6997611,0.76808375,1.5065689
0.0,1.0,0.5675293,0.21069327,0.094344534,0.26684374
1.0,0.0,0.3846988,1.744135,2.37983,2.0989242
0.0,1.0,-0.9749815,0.5171434,0.13978031,0.77454686
1.0,1.0,-1.1412936,4.123026,4.8884935,5.747247
0.0,0.0,0.41436097,0.34084034,0.2058823,0.35994095
1.0,0.0,0.7586334,1.9475081,2.8055468,2.8088655
0.0,1.0,-0.70325595,0.3198433,0.11339396,0.71146905
0.0,0.0,-0.45385444,-0.022102803,0.062001064,0.28049946
1.0,0.0,-0.5859672,0.8748218,1.4274247,1.3240534
1.0,1.0,-0.08870112,4.2238626,4.762309,5.6265936
1.0,1.0,0.68768865,2.8951242,3.3752024,3.7873595
0.0,1.0,1.8383317,4.1831627,3.1308353,5.7028522
0.0,1.0,-1.6901228,0.69000006,-0.116659164,2.0693507
0.0,0.0,-0.57060575,0.16418567,-0.07730129,0.32675236
1.0,1.0,-0.041980885,6.6660395,7.505401,8.473633
0.0,0.0,-0.117190905,0.85882294,0.9124585,1.9254372
0.0,1.0,0.6191967,0.82253784,0.39246455,1.1528504
1.0,0.0,0.54947686,5.2465677,7.4042573,6.939932
1.0,1.0,1.0659784,1.0229273,1.1186936,1.4732659
0.0,1.0,-0.6395404,0.741815,0.29455003,1.5184724
0.0,0.0,-1.3081614,0.06533474,-0.08579469,-0.07059635
0.0,1.0,-0.32046005,2.0588121,1.1253873,3.4679124
1.0,1.0,0.7155433,5.144971,5.9472275,6.719007
0.0,0.0,1.3687288,0.019614965,0.11367012,0.11858858
0.0,0.0,0.65004885,0.39722452,0.52537686,0.8038178
1.0,1.0,-0.10687463,0.8343533,0.8740849,1.2961859
0.0,0.0,-0.12777723,0.34056383,0.22821128,0.49436486
0.0,0.0,-1.9618316,-0.7411121,-0.7520443,-0.0056794286
0.0,0.0,0.5955278,0.61803037,0.7933637,0.94180155
0.0,1.0,0.61417544,0.92452794,0.9083814,1.609691
1.0,0.0,1.0956626,1.8621652,2.6237698,2.45611
1.0,1.0,1.8504463,2.2342181,2.733372,3.187979
0.0,0.0,-0.77178526,0.12114543,0.11792618,0.8834574
0.0,1.0,-1.0311555,0.06651996,0.00608238,-0.012177028
1.0,1.0,0.29432908,0.6540105,0.91541857,1.0948119
1.0,1.0,0.94983006,5.720518,6.358614,7.3667774
0.0,0.0,0.88305193,1.0866175,1.2884221,1.7582521
0.0,0.0,0.09875743,0.20190746,0.14710163,0.22731912
1.0,1.0,0.67504627,6.211289,6.941682,8.088876
1.0,0.0,1.2636505,2.438655,3.211525,2.9888716
0.0,0.0,0.61993414,0.6551577,0.73027945,1.2154459
1.0,1.0,-0.65523195,5.6213164,6.5507917,7.583622
1.0,1.0,-0.8793117,0.6108893,0.56552714,0.9064767
1.0,0.0,-0.08402311,3.3020644,4.6855655,4.282026
0.0,0.0,-0.29528546,0.29624158,0.36676282,0.7632913
1.0,1.0,0.45284888,5.2790213,6.047862,6.9729996
1.0,0.0,-0.075475276,0.73274606,1.0929289,1.08639
1.0,1.0,0.3526427,6.642948,7.8600492,9.002953
0.0,1.0,-1.4112661,0.33126503,-0.10111278,1.0341183
1.0,0.0,-1.4492497,0.008627359,0.12624916,0.087689094
0.0,1.0,1.1107563,1.281048,0.8702748,1.8338672
1.0,1.0,-0.11325007,6.084458,7.430589,8.228733
0.0,1.0,-0.30850935,1.4791968,0.7377373,2.651848
0.0,0.0,0.7049918,0.6027504,0.7224627,1.2404355
1.0,1.0,0.41969207,6.664563,7.706197,9.122213
0.0,1.0,1.9532597,1.6096858,0.95204794,2.1086073
0.0,1.0,-0.27039737,1.0198476,0.5210711,1.6755505
1.0,0.0,0.3938076,4.927527,6.791,6.5213523
1.0,1.0,-1.237796,0.62911326,0.47857133,0.5997028
1.0,1.0,2.3260498,0.9767213,1.2211752,1.1382159
1.0,1.0,-0.6192045,5.5081434,6.618042,7.8709455
1.0,0.0,-0.19041821,2.6408966,4.066559,3.8246439
0.0,1.0,0.002673561,1.3953207,0.93323445,2.3628469
0.0,1.0,-1.1280566,0.9010831,0.3440601,1.8629075
0.0,0.0,0.45678595,1.0908365,1.0519929,1.7543777
1.0,1.0,-0.3202012,4.5382595,5.4441895,6.4005637
1.0,1.0,1.0702825,7.2421527,8.371406,9.501406
0.0,0.0,1.4965159,1.4346677,1.66123,2.2795212
0.0,0.0,-1.7214199,-0.8869413,-0.76923907,0.2299332
1.0,0.0,1.441401,5.197364,6.7855577,6.3111935
1.0,1.0,-1.058629,4.8375845,5.9258604,6.9478016
1.0,0.0,0.27361858,4.4464183,6.170959,5.9551306
1.0,1.0,-1.3063847,0.77790153,1.1244311,1.1592134
1.0,1.0,-3.9019227,2.4516213,3.3678515,4.536306
0.0,1.0,-0.29360285,0.96613365,0.55866015,1.6762367
1.0,0.0,-1.2391574,1.9550714,2.9941206,2.8695197
